Sector_Asuransi,Sector_Barang Baku,Sector_Barang Perindustrian,Sector_Barang Rumah Tangga,Sector_Farmasi & Riset Kesehatan,Sector_Finansial,Sector_Infrastruktur Transportasi,Sector_Jasa Investasi,Sector_Jasa Konsumen,Sector_Jasa Pembiayaan,Sector_Konstruksi,Sector_Makanan & Minuman,"Sector_Minyak, Gas, & Batubara",Sector_Perbankan,Sector_Perindustrian,Sector_Pertanian,Sector_Properti,Sector_Ritel Primer,Sector_Tekstil,Sector_Telekomunikasi,Revenue (IDR),Gross Profit (IDR),Net Income (IDR),Market Cap (IDR),Annual EPS,Return on Equity (%),1 Year Price Returns (%),3 Year Price Returns (%),5 Year Price Returns (%),Dividend Yield (%),Payout Ratio (%),Kode Saham
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21350000000000,2827000000000,1056000000000,12077000000000,555.0,4.73,-10.68,-37.25,-51.73,3.97,44.86,AALI
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10121000000000,2588000000000,1716000000000,10150000000000,1485.91,15.28,-4.25,31.82,-2.87,9.58,65.41,ADMF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1593000000000,11000000000,189000000000,467000000000,-21.54,-10.27,-17.24,-43.4,-36.84,0.0,0.0,ADMG
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989000000000,119400000000,177000000000,1661000000000,38.34,9.92,9.93,-3.49,9.93,9.0,78.25,AMAG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5624000000000,1136000000000,275000000000,2090000000000,525.14,6.21,-22.18,1.31,37.39,1.73,15.23,AMFG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2528000000000,872000000000,408000000000,5433000000000,57.36,23.34,12.98,-12.94,60.87,5.81,74.96,ARNA
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219000000000,11050000000,25000000000,187000000000,50.36,6.78,-0.41,3.28,-7.05,8.2,79.43,ASDM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2929000000000,650000000000,167000000000,1146000000000,148.83,8.82,-6.08,8.97,-57.71,6.24,35.61,ASGR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,321981000000000,74375000000000,34002000000000,209502000000000,851.51,16.43,-10.0,-10.0,-20.99,10.03,60.95,ASII
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70963000000000,41252000000000,21465000000000,184622000000000,583.0,13.64,-6.6,47.21,33.33,5.66,48.11,BBNI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29780000000000,12143000000000,3271000000000,17502000000000,197.84,10.22,-5.81,-27.38,-42.72,4.12,25.22,BBTN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22308000000000,15630000000000,3275000000000,24727000000000,318.08,6.48,-11.23,7.2,-31.06,4.94,39.45,BDMN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845000000000,923000000000,467000000000,3240000000000,55.45,14.0,-29.41,10.77,1.89,7.41,144.27,BISI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15371000000000,6672000000000,1506000000000,9943000000000,147.38,9.36,-16.0,-31.07,-39.66,10.05,64.49,BJBR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23615000000000,13173000000000,6706000000000,44502000000000,272.21,12.89,3.81,79.7,90.32,6.95,45.06,BNGA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12781000000000,7154000000000,1055000000000,16615000000000,9.76,3.5,-13.49,-40.11,6.86,4.59,105.38,BNII
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18507000000000,11399000000000,3230000000000,36000000000000,102.65,7.67,6.99,-40.77,7.34,2.51,24.35,BNLI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14298000000000,8338000000000,2878000000000,21277000000000,170.16,7.34,-2.9,-5.63,-17.62,0.0,0.0,BSDE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3772000000000,2630000000000,433000000000,14196000000000,15.45,1.04,-17.71,-19.55,22.03,0.0,0.0,BSIM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21987000000000,14031000000000,2259000000000,24379000000000,249.76,4.82,-14.31,-13.99,-27.56,1.92,17.74,BTPN
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892000000000,119000000000,53000000000,323000000000,171.38,9.56,6.03,1.93,38.82,12.13,74.84,CLPI
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7196000000000,1929000000000,1000000000000,7640000000000,221.0,8.09,-10.79,-6.33,-11.3,0.0,0.0,CMNP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64206000000000,8336000000000,2030000000000,79858000000000,194.07,7.02,-3.08,-18.49,-29.93,0.62,15.46,CPIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9773000000000,4860000000000,1942000000000,20482000000000,91.87,9.31,-3.91,6.25,11.06,1.9,22.86,CTRA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677000000000,461000000000,144000000000,1737000000000,169.47,17.84,-38.53,-42.74,-67.85,12.95,165.81,DLTA
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000000000,26000000000,12000000000,111000000000,30.19,3.46,-28.94,-15.23,21.01,2.99,33.12,DPNS
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134000000000,1125000000000,194000000000,1831000000000,175.46,13.13,-2.1,-41.61,-26.35,6.61,61.55,DVLA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30565000000000,3007000000000,736000000000,6474000000000,289.26,9.96,-7.36,-7.72,19.5,6.95,57.39,EPMT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33816000000000,4720000000000,1577000000000,29539000000000,133.72,6.17,8.7,-28.34,-34.02,2.18,36.34,EXCL
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8455000000000,1881000000000,577000000000,3948000000000,430.03,23.28,-12.96,0.0,33.52,15.21,166.2,HEXA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72089000000000,27165000000000,8080000000000,137611000000000,931.73,17.51,12.38,35.63,6.31,1.69,21.47,ICBP
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875000000000,129000000000,51000000000,530000000000,55.1,8.12,21.56,17.78,54.97,0.0,0.0,IGAR
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377000000000,81000000000,19000000000,120000000000,106.92,4.31,5.45,0.67,46.21,6.03,32.73,INCI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114759000000000,39561000000000,9825000000000,68710000000,1330.35,15.1,23.23,21.32,-0.32,3.41,20.07,INDF
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158000000000,552000000000,12000000000,818000000000,1.88,0.46,-8.63,-27.84,30.93,0.0,0.0,IPOL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54688000000000,9534000000000,2088000000000,21284000000000,238.31,13.53,51.88,13.79,13.44,3.86,29.37,JPFA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2808000000000,1593000000000,1080000000000,8938000000000,76.17,11.42,-9.72,32.65,14.04,3.69,31.51,JRPT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27604000000000,10967000000000,4119000000000,33241000000000,606.32,12.47,-1.93,15.08,-13.18,0.83,6.24,JSMR
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349000000000,456000000000,208000000000,1475000000000,50.69,7.96,14.29,29.58,-36.0,2.17,15.78,KBLI
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861000000000,131000000000,71000000000,327000000000,68.71,5.39,7.35,37.74,-5.81,2.74,11.64,KBLM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4407000000000,1961000000000,729000000000,4123000000000,31.28,12.24,52.31,15.12,-37.34,0.0,0.0,KIJA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191000000000,1593000000000,1108000000000,8082000000000,157.06,9.32,30.22,0.85,-12.87,3.29,24.83,LSIP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10253000000000,5208000000000,2713000000000,53773000000000,226.86,12.62,-12.34,-7.25,28.69,4.56,92.26,MEGA
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935000000000,326000000000,125000000000,1559000000000,229.34,17.12,-20.0,-4.66,18.77,9.2,139.53,MERK
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096000000000,535000000000,38000000000,315000000000,77.12,4.15,-4.55,31.25,50.0,1.9,12.97,MICE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378000000000,2086000000000,1136000000000,12958000000000,482.55,86.13,-24.07,-25.0,-61.2,9.53,121.44,MLBI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656000000000,624000000000,382000000000,3530000000000,166.71,14.3,-1.23,-5.33,25.49,1.38,13.37,MYOH
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34231000000000,8412000000000,3183000000000,62157000000000,120.19,20.12,12.1,28.11,33.65,1.98,45.76,MYOR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404000000000,190800000000,144000000000,1181000000000,239.7,9.44,2.18,20.59,16.31,10.98,75.1,PANS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253000000000,643000000000,165000000000,920000000000,83.83,9.72,-39.15,1.77,-40.1,5.57,38.17,PJAA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41407000000000,8842000000000,5557000000000,31336000000000,373.86,27.5,10.57,0.37,10.57,14.63,106.38,PTBA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6417000000000,3606000000000,2281000000000,20420000000000,46.03,11.23,-0.47,-12.03,-24.96,2.12,19.55,PWON
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4042000000000,1651000000000,625000000000,6435000000000,41.19,4.55,-20.08,-23.44,-43.2,6.39,66.76,SDRA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4944000000000,1053000000000,309000000000,4835000000000,139.11,5.87,1.49,-3.32,-17.41,5.93,86.98,SGRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73916000000000,6988000000000,1432000000000,11000000000000,480.99,7.23,-1.54,-12.95,4.93,5.22,41.58,SMAR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9119000000000,4775000000000,1047000000000,9081000000000,75.41,9.85,-9.84,-35.67,-42.11,1.64,11.93,SMRA
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083000000000,229000000000,31000000000,301000000000,4.35,8.52,-25.37,-7.41,-24.24,2.0,22.97,SRSN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6815000000000,4835000000000,1609000000000,43841000000000,68.7,13.91,-6.52,-34.85,65.38,1.55,43.96,TBIG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15943000000000,2828000000000,677000000000,3856000000000,110.85,8.01,-14.67,-17.42,-26.35,11.72,67.66,TBLA
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15493000000000,2410000000000,2134000000000,20625000000000,665.76,5.67,-7.34,-14.79,-40.05,0.38,3.76,TKIM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150197000000000,13000000000000,22736000000000,280346000000000,237.9,16.75,-25.72,-30.47,-29.07,6.33,75.03,TLKM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170000000000,479000000000,243000000000,2387000000000,70.51,21.86,91.26,120.13,72.41,5.71,56.73,TOTL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2289000000000,520000000000,257000000000,2312000000000,25.63,10.47,-1.75,2.75,-23.29,9.38,81.95,TOTO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12470000000000,8516000000000,3275000000000,36220000000000,63.96,18.01,-26.42,-38.79,-5.33,3.38,37.68,TOWR
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13504000000000,5174000000000,1308000000000,11320000000000,320.1,15.48,42.21,69.02,79.29,3.98,31.24,TSPC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130544000000000,35828000000000,20855000000000,103045000000000,5573.22,24.35,23.19,21.7,33.45,8.09,40.12,UNTR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457000000000,61234000000,23000000000,506000000000,1.94,2.98,1.14,-46.71,78.0,0.0,0.0,VRNA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148000000000,439000000000,247000000000,1232000000000,57.97,13.86,-1.12,48.74,26.43,5.65,35.14,WOMF
